character,definition,pronounciation
命,life; fate,mìng
且,moreover; both,qiě
向,towards; direction,xiàng
兴,to rise; to flourish,xīng
球,ball; sphere,qiú
服,clothes; to serve,fú
入,to enter,rù
照,according to; to shine,zhào
提,to lift,tí
掉,to fall; to lose,diào
夫,husband,fū
路,road,lù
演,to act; to develop,yǎn
够,to be enough,gòu
日,sun; day,rì
案,legal case; record,àn
舞,to dance,wǔ
决,to decide,jué
求,to look for; to request,qiú
约,appointment; to invite,yuē
字,word; character,zì
呃,belch; hiccup,è
肯,to agree,kěn
目,eye,mù
笑,to laugh,xiào
伤,wound,shāng
神,deity; spirit,shén
父,father,fù
指,finger; refer to,zhǐ
报,to announce,bào
留,to stay; to remain,liú
水,water; liquid,shuǐ
教,to teach,jiào
枪,gun,qiāng
清,clear,qīng
色,color,sè
号,number,hào
世,life; age; world,shì
远,far; distant,yuǎn
片,thin piece; slice,piàn
官,official,guān
口,mouth,kǒu
师,teacher; master,shī
原,original,yuán
酒,wine,jiǔ
周,circle; week,zhōu
星,star,xīng
识,to know,shí
赛,competition,sài
救,to save,jiù
底,bottom; end,dǐ
棒,wonderful; stick,bàng
须,must; beard,xū
收,to receive,shōu
交,to deliver; to pay,jiāo
坐,to sit,zuò
停,to stop,tíng
卡,card; to block,kǎ
尼,Buddhist nun,ní
婚,to marry,hūn
格,grid; pattern,gé
眼,eye,yǎn
金,gold,jīn
蛋,egg,dàn
息,breath; to rest,xī
室,room,shì
内,inside; inner,nèi
运,to move; fortune,yùn
根,root; basis,gēn
单,single; list,dān
宝,jewel; treasure,bǎo
哥,elder brother,gē
张,mw. for flat obj.,zhāng
搞,to make; to set up,gǎo
战,to fight; war,zhàn
火,fire,huǒ
罗,gauze; to gather,luó
至,to arrive,zhì
万,ten thousand,wàn
声,sound; voice,shēng
布,cloth; to spread,bù
音,sound; noise,yīn
期,period of time,qī
条,mw. long thing obj.,tiáo
消,to vanish; need,xiāo
买,to buy,mǎi
病,illness; disease,bìng
整,ordered,zhěng
奇,strange,qí
弟,young brother,dì
犯,to violate; to offend,fàn
装,clothing; to pretend,zhuāng
贝,shell,bèi
您,you (polite),nín
送,to give; to deliver,sòng
怕,to fear,pà
护,to protect,hù
度,degree; measure,dù
花,flower; to spend,huā
节,festival,jié
近,near,jìn
怪,odd; monster,guài
持,to maintain; to manage,chí
光,bright; only,guāng
与,and; with,yǔ
穿,to wear,chuān
愿,to hope; willing,yuàn
象,elephant; form,xiàng
影,image,yǐng
击,to hit,jí
使,to cause,shǐ
二,two,èr
喝,to drink,hē
月,moon; month,yuè
器,device; tool,qì
察,to examine; to observe,chá
制,to manufacture,zhì
嘛,obvious p.; pause p.,ma
哈,laughter,hā
助,to help,zhù
达,to reach,dá
海,ocean; sea,hǎi
待,to wait; about to,dài
托,support; to entrust,tuō
除,to remove,chú
写,to write,xiě
绝,sever; absolutely,jué
界,boundary; scope,jiè
帝,emperor,dì
姐,older sister,jiě
反,contrary; opposite,fǎn
担,to undertake,dān
司,to manage; department,sī
强,strong; powerful,qiáng
由,from; by,yóu
论,opinion; theory,lùn
飞,to fly,fēi
亚,Asia,yà
续,to continue,xù
视,to look at,shì
母,mother,mǔ
空,empty; air,kōng
军,army,jūn
跑,to run,pǎo
阿,prefix for names,ā
尽,to greatest extent,jìn
注,pay attention; to register,zhù
弄,to do,nòng
密,secret,mì
线,thread,xiàn
代,to substitute; era,dài
忙,busy,máng
坏,bad; broken,huài
久,long (time),jiǔ
议,to discuss,yì
衣,clothes,yī
血,blood,xiě
钟,clock; o'clock,zhōng
继,to carry on,jì
礼,gift; ceremony,lǐ
数,number; figure,shù
份,"mw. for papers, sets",fèn
疯,insane,fēng
平,flat; equal,píng
止,to prohibit,zhǐ
十,ten,shí
拜,to pay respect,bài
鬼,ghost,guǐ
睡,to sleep,shuì
啦,exclamation p.,la
调,to transfer; tone,diào
巴,to stick to; close to,bā
兄,elder brother,xiōng
紧,strict; tight,jǐn
站,to stop; station,zhàn
品,goods; product,pǐn
英,brave,yīng
罪,guilt; crime,zuì
文,language; culture,wén
亮,bright; clear,liàng
抓,to grab,zhuā
跳,to jump,tiào
联,to unite; to join,lián
混,to mix,hùn
便,ordinary; convenient,biàn
狗,dog,gǒu
脑,brain; mind,nǎo
业,occupation,yè
歌,song,gē
精,essence; vitality,jīng
包,to wrap; bag,bāo
转,to revolve; to turn,zhuǎn
却,but; however,què
参,to participate,cān
院,courtyard; institution,yuàn
务,affair; business,wù
基,base; foundation,jī
台,platform,tái
另,other; another,lìng
恩,grace,ēn
书,book,shū
统,to unite,tǒng
风,wind,fēng
况,situation; moreover,kuàng
四,four,sì
黑,black,hēi
否,to deny,fǒu
险,danger,xiǎn
言,words; speech,yán
米,rice,mǐ
杰,distinguished,jié
校,school,xiào
幸,fortunate,xìng
传,to transfer; send,chuán
复,to return; to repeat,fù
量,quantity; amount,liàng
首,head; chief,shǒu
改,to change,gǎi
忘,to forget,wàng
术,method; technique,shù
局,office; narrow,jú
客,customer; guest,kè
假,fake; to borrow,jiǎ
永,forever,yǒng
维,to maintain,wéi
岁,years (of age),suì
据,according to; to seize,jù
派,school of though,pài
票,ticket,piào
兰,orchid,lán
恶,evil; ugly,è
烦,to trouble,fán
取,to take,qǔ
游,to swim; to travel,yóu
糟,dregs,zāo
令,command; to order,lìng
随,to follow; comply,suí
五,five,wǔ
圣,holy,shèng
式,type; style,shì
探,to explore,tàn
嘴,mouth,zuǐ
毒,poison,dú
越,to climb over,yuè
律,law,lǜ
费,expense,fèi
科,division,kē
麻,hemp; rough,má
简,simple,jiǎn
易,easy,yì
流,to flow,liú
治,to govern; solve,zhì
唱,to sing,chàng
答,to reply; answer,dá
倒,to invert; actually,dǎo
划,to plan; row,huà
控,to accuse; manage,kòng
味,taste; smell,wèi
区,area,qū
漂,to float,piāo
支,to support,zhī
乎,in; at; from,hū
录,diary; record,lù
考,to test,kǎo
超,to exceed; super-,chāo
拍,to clap; to take (photo),pāi
轻,light; gentle,qīng
连,to link; even…,lián
往,towards,wǎng
组,to organize; group,zǔ
满,to fill; satisfied,mǎn
造,to build; to make,zào
弹,bullet,dàn
静,still; calm,jìng
故,old; happening,gù
吸,to breathe; inhale,xī
喂,call attention,wèi
集,to gather; to collect,jí
极,extremely,jí
讲,to speak; lecture,jiǎng
块,colloq. money; lump,kuài
趣,interesting,qù
类,kind; category,lèi
呀,surprise p.,yā
戏,drama; trick,xì
曾,once; already,céng
容,to contain; appearance,róng
步,a step,bù
投,to cast,tóu
化,to change into,huà
未,not; have not,wèi
束,to bind; bundle,shù
醒,to wake up,xǐng
威,power,wēi
班,team; class,bān
终,end; finish,zhōng
差,inferior; bad,chà
梦,dream,mèng
赢,to win,yíng
药,medicine,yào
迪,to enlighten,dí
店,inn; shop,diàn
丽,beautiful,lì
卖,to sell,mài
显,prominent; to show,xiǎn
监,to supervise,jiān
图,diagram; map,tú
半,half,bàn
语,language; speech,yǔ
付,to pay; hand over,fù
热,hot,rè
排,a row; to arrange,pái
楚,distinct; clear,chǔ
偷,to steal,tōu
敢,to dare,gǎn
油,oil,yóu
餐,meal,cān
破,broken; to destroy,pò
杯,cup,bēi
市,market; city,shì
城,city; town,chéng
哇,child cry sound,wā
权,authority; power,quán
某,some; a certain,mǒu
激,to excite; fierce,jī
立,to stand,lì
程,rule; order,chéng
伊,he; she,yī
讨,to invite; to discuss,tǎo
责,duty,zé
昨,yesterday,zuó
闭,to close; to shut,bì
庭,main hall; courtyard,tíng
落,to set; to decline,luò
饭,food; meal,fàn
林,forest,lín
换,to change,huàn
及,to reach; up to,jí
船,boat,chuán
争,to strive for,zhēng
猜,to guess,cāi
级,level; rank,jí
姆,matron,mǔ
雷,thunder,léi
刻,quarter (hour); to cut,kè
建,to establish,jiàn
团,round,tuán
王,king,wáng
惊,frightened,jīng
迎,to welcome,yíng
段,section,duàn
标,sign; prize,biāo
检,to check,jiǎn
各,each; every,gè
义,justice,yì
百,hundred,bǎi
民,the people,mín
功,result; achievement,gōng
唯,yes,wěi
夜,night,yè
示,to show,shì
靠,to lean on,kào
释,to explain,shì
脸,face,liǎn
引,to pull; to guide,yǐn
择,to select,zé
疑,to doubt,yí
赶,to hurry,gǎn
俩,two (coll. 两）,liǎ
独,alone,dú
冷,cold,lěng
妹,younger sister,mèi
楼,building; floor,lóu
皮,leather; skin,pí
存,to exist; to deposit,cún
练,to practice,liàn
娘,mother; young lady,niáng
顿,to pause; mw. for meals,dùn
断,to break; defiitely,duàn
设,to set up,shè
松,loose; to relax,sōng
博,rich; extensive,bó
置,to install,zhì
逃,to escape,táo
观,to watch,guān
痛,ache; pain,tòng
狂,mad; wild,kuáng
足,foot,zú
码,number; code,mǎ
恐,afraid,kǒng
吉,lucky,jí
历,calendar; to experience,lì
慢,slow,màn
妻,wife,qī
山,mountain,shān
普,general; popular,pǔ
价,price; value,jià
元,unit of money,yuán
角,angle; 0.1元,jiǎo
怀,bosom; heart,huái
床,bed,chuáng
奥,obscure,ào
模,to imitate,mó
验,to examine,yàn
索,to search; to ask,suǒ
街,street,jiē
呼,to call,hū
祝,to wish; to pray,zhù
料,material; stuff,liào
休,to rest,xiū
灵,quick; effective,líng
狱,prison; lawsuit,yù
剧,drama; play,jù
乱,messy; disorder,luàn
展,to spread out,zhǎn
板,board; plank,bǎn
承,to bear; to carry,chéng
则,in contrast; norm,zé
顾,to look after,gù
深,deep; profound,shēn
产,give birth; to produce,chǎn
洗,to wash,xǐ
政,political,zhèng
迷,fan (of),mí
领,neck,lǐng
午,noon,wǔ
纳,to receive; to bring in,nà
谎,lie,huǎng
具,tool; ability,jù
退,to retreat; to decline,tuì
福,luck; fortune,fú
习,to study; habit,xí
秘,secret,mì
奶,milk; breast,nǎi
遇,to meet; to encounter,yù
职,office; duty,zhí
架,to support; framework,jià
即,namely; at once,jí
挺,to stand upright,tǐng
史,history,shǐ
负,to bear,fù
千,thousand,qiān
脱,to take off,tuō
瑞,auspicious,ruì
背,back of object,bèi
仅,barely; merely,jǐn
追,to chase,zhuī
伦,relationship,lún
炸,to fry in oil,zhá
资,property; wealth,zī
画,to draw; picture,huà
踪,footprints; traces,zōng
射,to shoot,shè
弃,to abandon,qì
傻,foolish,shǎ
藏,to conceal; to store,cáng
屁,fart; nonsense,pì
瞧,to glance at,qiáo
修,to repair,xiū
尸,corpse,shī
闻,to hear; news,wén
共,common; general,gòng
懂,to understand,dǒng
蒂,stem of plant,dì
危,danger,wēi
专,specialized,zhuān
呆,stupid,ái
介,to introduce,jiè
萨,Bodhissatva,sà
魔,devil; magic,mó
急,urgent; worried,jí
碰,to bump,pèng
甚,variant of 什,shén
糕,cake,gāo
苦,bitter; pain,kǔ
念,to miss (sb); thought,niàn
适,to fit; suitable,shì
华,splendid,huá
冲,to clash; to rinse,chōng
骗,to cheat,piàn
厌,to loathe,yàn
型,model; type,xíng
麦,wheat; oats,mài
似,-like,sì
红,red,hóng
值,value,zhí
脚,foot,jiǎo
六,six,liù
谋,plan; scheme,móu
套,cover; mw. for sets,tào
凯,triumphant,kǎi
众,many; crowd,zhòng
预,to advance; prepare,yù
际,border; between,jì
咱,we; us,zá/zán
波,wave,bō
卫,to guard,wèi
聊,to chat,liáo
养,to raise; to bring up,yǎng
导,to guide,dǎo
虑,to think over,lǜ
私,private,sī
戴,to put on,dài
毁,to destroy,huǐ
鱼,fish,yú
滚,to boil,gǔn
志,sign; ambition,zhì
杂,mixed,zá
居,to reside; residence,jū
词,word,cí
食,food,shí
诺,promise,nuò
读,to read,dú
误,mistake,wù
撒,to release,sā
突,to dash; sudden,tū
牛,cow,niú
馆,building; shop,guǎn
规,a rule; compass,guī
陪,to accompany,péi
州,a state,zhōu
肉,flesh; meat,ròu
形,form; appear,xíng
凶,culprit; scary,xiōng
森,forest,sēn
商,commernce,shāng
纪,order; to discipline,jì
浪,wave,làng
石,stone,shí
顺,to obey; along,shùn
举,to lift,jǔ
按,to press; to restrain,àn
旅,journey,lǚ
努,to exert,nǔ
坚,strong,jiān
测,to measure,cè
免,to exempt; to avoid,miǎn
喔,I see; oh,ō
丝,silk,sī
辆,mw. for vehicles,liàng
乔,tall; lofty,qiáo
防,to protect,fáng
句,sentence,jù
印,to print; image,yìn
恋,to feel attached to,liàn
弗,"not, negative",fú
季,season,jì
严,strict; tight,yán
推,to push,tuī
伯,eldest uncle,bó
莉,white jasmine,lì
武,martial,wǔ
胜,victory; better,shèng
毛,hair; coarse,máo
压,to push down,yā
败,to defeat,bài
究,after all; to investigate,jiū
评,to comment; criticize,píng
屋,house; room,wū
双,pair; double,shuāng
牙,tooth,yá
斗,to fight,dòu
鸡,chicken,jī
审,to examine,shěn
南,South,nán
速,fast; rapid,sù
蠢,stupid,chǔn
丈,husband,zhàng
守,to guard,shǒu
获,to capture; to reap,huò
八,eight,bā
致,fine; delicate,zhì
细,thin; fine,xì
勒,to rein in; to compel,lè
称,to weigh; name,chēng
塔,pagoda; tower,tǎ
丢,to lose,diū
冰,ice,bīng
态,attitude,tài
吓,to scare,xià
古,ancient,gǔ
亡,to die,wáng
状,suit; strong,zhuàng
鲁,"foolish, Shandong",lǔ
疗,to be healed,liáo
操,to operate,cāo
遗,to lose; to omit,yí
判,to judge,pàn
响,sound; noise,xiǎng
网,net; network,wǎng
箱,box; chest,xiāng
货,goods,huò
围,to encircle,wéi
签,to sign; label,qiān
牌,card; tablet,pái
户,door; household,hù
寻,to search,xún
质,character; quality,zhì
供,to supply,gōng
奖,prize,jiǎng
袋,pocket,dài
胡,beard; mustache,hú
脏,dirty,zāng
堂,hall; mw. for furniture sets,táng
曼,extended,màn
效,effect,xiào
露,dew; to reveal,lù
替,on behalf,tì
娜,elegant; delicate,nuó
座,seat,zuò
园,park,yuán
拥,to embrace,yǒng
睛,eye; eyeball,jīng
冒,to emit,mào
甜,sweet,tián
股,portion; thigh,gǔ
香,fragrant,xiāng
笔,pen; brush,bǐ
沙,sand,shā
扰,to disturb,rǎo
挑,to choose,tiāo
姑,aunt,gū
爆,to explode,bào
镇,suppress; small town,zhèn
暴,violent; cruel,bào
困,sleepy; difficult,kùn
项,item; back of neck,xiàng
概,approximate,gài
摩,to rub,mó
虽,although,suī
纽,knot; button; knob,niǔ
享,to enjoy,xiǎng
配,to join; to match,pèi
迹,traces,jì
登,to ascend,dēng
诞,give birth,dàn
竟,unexpectedly,jìng
叔,father's younger brother,shū
捕,to arrest,bǔ
赌,to gamble,dǔ
阻,to obstruct,zǔ
彩,color; variety,cǎi
搬,to move (house),bān
属,category; affiliation,shǔ
招,to recruit,zhāo
婆,grandmother,pó
巧,opportunely; timely,qiǎo
骨,bone,gǔ
塞,to stop up,sāi
剩,to remain,shèng
酷,ruthless; cool,kù
啡,coffee; morphine,fēi
课,subject; lesson,kè
烟,cigarette; to smoke,yān
摄,to absorb,shè
封,to grant; title,fēng
咖,coffee (phonetic),kā
低,low; beneath,dī
技,skill,jì
迟,late; slow,chí
纸,paper,zhǐ
烧,to cook; roast/bake,shāo
委,to entrust,wěi
暗,dark; gloomy,àn
左,left,zuǒ
输,to lose,shū
曲,song; tune,qǔ
仍,still; yet,réng
训,to tell; to teach,xùn
借,to lend; to borrow,jiè
扔,to throw,rēng
善,virtuous; kind,shàn
社,society,shè
轮,wheel; by turns,lún
顶,apex; to replace,dǐng
聪,intelligent,cōng
秀,handsome; elegant,xiù
刀,knife,dāo
莫,do not,mò
腿,legs; thighs,tuǐ
族,race; nationality,zú
鞋,shoes,xié
兵,soldiers,bīng
锁,lock,suǒ
妮,girl,nī
异,different; other,yì
誓,swear; oath,shì
树,tree,shù
木,tree; wood,mù
抢,to plunder,qiǎng
档,grade (of goods); shelves,dǎng
雇,to employ,gù
广,wide,guǎng
丹,cinnabar,dān
银,silver,yín
镜,mirror,jìng
群,group,qún
坦,flat; smooth,tǎn
汉,Han people,hàn
土,earth,tǔ
短,short; brief,duǎn
伴,partner,bàn
播,to scatter,bō
环,ring; to circle,huán
恨,to hate,hèn
移,to move; to alter,yí
编,to organize; to compile,biān
温,warm,wēn
刺,to stab; to pierce,cì
毫,fine hair,háo
右,right,yòu
野,field; wild,yě
哭,to cry,kū
遍,everywhere; all over,biàn
库,warehouse,kù
搭,to put up,dā
康,healthy,kāng
症,disease; illness,zhèng
荣,glory; honor,róng
充,to fill; to satisfy,chōng
创,a wound,chuāng
尝,taste; experience,cháng
列,to arrange; list,liè
毕,the whole of; to finish,bì
般,sort; kind,bān
聚,to assemble,jù
劳,to toil,láo
攻,to attack,gōng
忍,to endure,rěn
势,power; potential,shì
尊,senior; to honor,zūn
吻,kiss; lips,wěn
汤,soup; hot water,tāng
优,excellent,yōu
境,border; place,jìng
蒙,cover; ignorant,méng
偶,accidental,ǒu
熟,cooked; ripe; familiar,shú
营,camp; barracks,yíng
苏,to revive,sū
爷,father; grandfather,yé
微,tiny,wēi
埃,fine dust; dirt,āi
抽,to draw out,chōu
盖,lid; cover,gài
灯,light; lamp,dēng
莎,sedge grass,shā
府,seat of power,fǔ
透,to penetrate,tòu
魂,soul; spirit,hún
艺,skill; art,yì
掌,palm of hand,zhǎng
啥,what?,shà
升,to ascend; promote,shēng
裤,trousers,kù
临,to face,lín
智,wisdom,zhì
盘,plate,pán
研,study; research,yán
菲,fragrant; luxuriant,fēi
归,to return,guī
撞,to hit,zhuàng
隐,secret,yǐn
附,to be close to; to add,fù
搜,to seek,sōu
摆,to arrange,bǎi
散,to scatter,sàn
阳,male; sun,yáng
协,to cooperate,xié
租,to hire,zū
泰,safe; grand,tài
岛,island,dǎo
健,healthy,jiàn
饼,biscuits,bǐng
较,comparatively,jiào
避,to flee; to avoid,bì
猫,cat,māo
七,seven,qī
菜,dish; cuisine; vegetable,cài
糖,sugar; sweets,táng
痴,imbecile,chī
富,rich; abundant,fù
降,to drop; descend,jiàng
怜,to pity,lián
既,already; both…,jì
织,to weave,zhī
执,to execute; to grasp,zhí
戒,to warn,jiè
佛,Buddha,fó
抗,to resist; anti-,kàng
笨,stupid,bèn
航,boat; to sail,háng
妙,wonderful,miào
迈,to pass by,mài
耳,ear,ěr
匙,spoon,chí
宣,to announce,xuān
烂,soft; rotten,làn
秒,a second,miǎo
挂,to hang; to register,guà
旁,beside; side,páng
勇,brave,yǒng
钥,key; lock,yào/yuè
悲,sorrow,bēi
妇,married woman,fù
圈,ring; to circle,quān
敬,to respect,jìng
劲,strong; tough,jìn/jìng
帕,turban; veil,pà
草,grass,cǎo
醉,intoxicated,zuì
绑,to tie,bǎng
层,layer; floor (of building),céng
吵,to quarrel,chǎo
龙,dragon,lóng
挥,to wave; to disperse,huī
奋,to strive,fèn
忆,to remember,yì
折,to break; to turn,zhé
彼,that; those,bǐ
末,tip; final,mò
北,North,běi
景,scenery,jǐng
沃,to irrigate,wò
废,to abolish,fèi
副,secondary; vice-,fù
默,silent,mò
铁,iron,tiě
初,at first,chū
雪,snow,xuě
瓦,tile; pottery,wǎ
素,raw silk; nature,sù
禁,to prohibit,jìn
诚,honest; sincere,chéng
黄,yellow,huáng
敌,enemy; to resist,dí
夏,Summer,xià
贵,expensive,guì
欧,Europe,ōu
旦,dawn,dàn
依,to depend on,yī
谅,to forgive,liàng
桌,table,zhuō
雄,male; grand,xióng
丁,male adult; robust,dīng
舒,leisurely; to stretch,shū
粉,powder,fěn
旧,old,jiù
朝,dynasty,cháo
厅,hall,tīng
恭,polite,gōng
汽,steam,qì
补,to make up for,bǔ
徒,apprentice,tú
稍,somewhat; a little,shāo
摇,to shake,yáo
躲,to hide,duǒ
窗,window,chuāng
源,source; origin,yuán
蓝,blue,lán
章,chapter,zhāng
灭,to extinguish,miè
疼,aches; pains,téng
孤,lonely,gū
滑,to slip; cunning,huá
碎,to break; broken,suì
弱,weak,ruò
仔,meticulous; young,zǐ
款,section,kuǎn
拒,to resist,jù
河,river,hé
伍,to associate with,wǔ
纹,line; streak,wén
臭,smell; stink,chòu
幻,fantasy,huàn
童,child,tóng
翰,writing brush,hàn
闪,to dodge; flash,shǎn
残,to injure; cruel,cán
鸟,bird,niǎo
骑,to ride,qí
翻,to translate; to flip,fān
洲,continent; island,zhōu
沉,to submerge; sink,chén
饿,hungry,è
砸,to smash,zá
互,mutual,hù
卷,roll; to roll up,juǎn
拖,to drag,tuō
瓜,melon,guā
例,example; case,lì
财,money; wealth,cái
瓶,bottle; vase,píng
墙,wall,qiáng
拳,fist; boxing,quán
牢,prison; stable,láo
典,dictionary; law,diǎn
垃,waste,lā
染,to dye; to acquire,rǎn
漫,free; to inundate,màn
触,to touch,chù
胁,ribs; to threaten,xié
圾,garbage,jī
施,to grant,shī
胸,breast; chest,xiōng
阴,cloudy; female,yīn
孕,be pregnant,yùn
惹,to irritate,rě
硬,hard,yìng
逮,to seize,dài
销,to melt,xiāo
邦,country; nation,bāng
劫,to take by force,jié
袭,to raid,xí
育,to bring up,yù
虫,insects,chóng
嫌,to hate,xián
累,tired,léi
怖,terror; fear,bù
握,to grasp,wò
雨,rain,yǔ
缺,lack,quē
琳,gem,lín
墨,black; corrupt,mò
迫,to force,pò
采,to select; looks,cǎi
辈,generation,bèi
陷,to submerge,xiàn
蹈,to stamp feet,dǎo
限,limit,xiàn
巨,huge,jù
鲍,dried fish,bào
针,needle,zhēn
雅,elegant,yǎ
兹,now; here; this,zī
尾,tail,wěi
青,green/blue; young,qīng
席,mat; banquet,xí
逼,to pressure,bī
犹,like; similar to,yóu
